category,example_index,sentence
declarative,59,"Chapter 3
When he was dressed, Stepan Arkadyevitch sprinkled some scent on himself, pulled down his shirt-cuffs, distributed into his pockets his cigarettes, pocketbook, matches, and watch with its double chain and seals, and shaking out his handkerchief, feeling himself clean, fragrant, healthy, and physically at ease, in spite of his unhappiness, he walked with a slight swing on each leg into the dining-room, where coffee was already waiting for him, and beside the coffee, letters and papers from the office."
declarative,60,He read the letters.
declarative,61,"One was very unpleasant, from a merchant who was buying a forest on his wife’s property."
declarative,62,"To sell this forest was absolutely essential; but at present, until he was reconciled with his wife, the subject could not be discussed."
declarative,63,The most unpleasant thing of all was that his pecuniary interests should in this way enter into the question of his reconciliation with his wife.
declarative,64,"And the idea that he might be led on by his interests, that he might seek a reconciliation with his wife on account of the sale of the forest—that idea hurt him."
declarative,65,"When he had finished his letters, Stepan Arkadyevitch moved the office-papers close to him, rapidly looked through two pieces of business, made a few notes with a big pencil, and pushing away the papers, turned to his coffee."
declarative,66,"As he sipped his coffee, he opened a still damp morning paper, and began reading it."
declarative,67,"Stepan Arkadyevitch took in and read a liberal paper, not an extreme one, but one advocating the views held by the majority."
declarative,68,"And in spite of the fact that science, art, and politics had no special interest for him, he firmly held those views on all these subjects which were held by the majority and by his paper, and he only changed them when the majority changed them—or, more strictly speaking, he did not change them, but they imperceptibly changed of themselves within him."
declarative,69,"Stepan Arkadyevitch had not chosen his political opinions or his views; these political opinions and views had come to him of themselves, just as he did not choose the shapes of his hat and coat, but simply took those that were being worn."
declarative,70,"And for him, living in a certain society—owing to the need, ordinarily developed at years of discretion, for some degree of mental activity—to have views was just as indispensable as to have a hat."
declarative,71,"If there was a reason for his preferring liberal to conservative views, which were held also by many of his circle, it arose not from his considering liberalism more rational, but from its being in closer accordance with his manner of life."
declarative,72,"The liberal party said that in Russia everything is wrong, and certainly Stepan Arkadyevitch had many debts and was decidedly short of money."
declarative,73,"The liberal party said that marriage is an institution quite out of date, and that it needs reconstruction; and family life certainly afforded Stepan Arkadyevitch little gratification, and forced him into lying and hypocrisy, which was so repulsive to his nature."
declarative,74,"The liberal party said, or rather allowed it to be understood, that religion is only a curb to keep in check the barbarous classes of the people; and Stepan Arkadyevitch could not get through even a short service without his legs aching from standing up, and could never make out what was the object of all the terrible and high-flown language about another world when life might be so very amusing in this world."
declarative,75,"And with all this, Stepan Arkadyevitch, who liked a joke, was fond of puzzling a plain man by saying that if he prided himself on his origin, he ought not to stop at Rurik and disown the first founder of his family—the monkey."
declarative,76,"And so Liberalism had become a habit of Stepan Arkadyevitch’s, and he liked his newspaper, as he did his cigar after dinner, for the slight fog it diffused in his brain."
declarative,77,"He read another article, too, a financial one, which alluded to Bentham and Mill, and dropped some innuendoes reflecting on the ministry."
declarative,78,"With his characteristic quickwittedness he caught the drift of each innuendo, divined whence it came, at whom and on what ground it was aimed, and that afforded him, as it always did, a certain satisfaction."
declarative,79,But today that satisfaction was embittered by Matrona Philimonovna’s advice and the unsatisfactory state of the household.
declarative,80,"He read, too, that Count Beist was rumored to have left for Wiesbaden, and that one need have no more gray hair, and of the sale of a light carriage, and of a young person seeking a situation; but these items of information did not give him, as usual, a quiet, ironical gratification."
declarative,81,"Having finished the paper, a second cup of coffee and a roll and butter, he got up, shaking the crumbs of the roll off his waistcoat; and, squaring his broad chest, he smiled joyously: not because there was anything particularly agreeable in his mind—the joyous smile was evoked by a good digestion."
declarative,82,"But this joyous smile at once recalled everything to him, and he grew thoughtful."
declarative,83,"Two childish voices (Stepan Arkadyevitch recognized the voices of Grisha, his youngest boy, and Tanya, his eldest girl) were heard outside the door."
declarative,84,"They were carrying something, and dropped it."
declarative,85,"They threw down the box, that represented a train, and came in to their father."
declarative,86,"The little girl, her father’s favorite, ran up boldly, embraced him, and hung laughingly on his neck, enjoying as she always did the smell of scent that came from his whiskers."
declarative,87,"At last the little girl kissed his face, which was flushed from his stooping posture and beaming with tenderness, loosed her hands, and was about to run away again; but her father held her back."
declarative,88,"He was conscious that he loved the boy less, and always tried to be fair; but the boy felt it, and did not respond with a smile to his father’s chilly smile."
declarative,89,Stepan Arkadyevitch sighed.
declarative,90,And she blushed for her father.
declarative,91,"He at once perceived it, and blushed too."
declarative,92,"He took off the mantelpiece, where he had put it yesterday, a little box of sweets, and gave her two, picking out her favorites, a chocolate and a fondant."
declarative,93,"The petitioner, the widow of a staff captain Kalinin, came with a request impossible and unreasonable; but Stepan Arkadyevitch, as he generally did, made her sit down, heard her to the end attentively without interrupting her, and gave her detailed advice as to how and to whom to apply, and even wrote her, in his large, sprawling, good and legible hand, a confident and fluent little note to a personage who might be of use to her."
declarative,94,"Having got rid of the staff captain’s widow, Stepan Arkadyevitch took his hat and stopped to recollect whether he had forgotten anything."
declarative,95,It appeared that he had forgotten nothing except what he wanted to forget—his wife.
declarative,96,Except deceit and lying nothing could come of it now; and deceit and lying were opposed to his nature.
declarative,97,"He squared his chest, took out a cigarette, took two whiffs at it, flung it into a mother-of-pearl ashtray, and with rapid steps walked through the drawing-room, and opened the other door into his wife’s bedroom."
declarative,98,"Chapter 4
Darya Alexandrovna, in a dressing jacket, and with her now scanty, once luxuriant and beautiful hair fastened up with hairpins on the nape of her neck, with a sunken, thin face and large, startled eyes, which looked prominent from the thinness of her face, was standing among a litter of all sorts of things scattered all over the room, before an open bureau, from which she was taking something."
declarative,99,"Hearing her husband’s steps, she stopped, looking towards the door, and trying assiduously to give her features a severe and contemptuous expression."
declarative,100,"She felt she was afraid of him, and afraid of the coming interview."
declarative,101,"She still continued to tell herself that she should leave him, but she was conscious that this was impossible; it was impossible because she could not get out of the habit of regarding him as her husband and loving him."
declarative,102,"Besides this, she realized that if even here in her own house she could hardly manage to look after her five children properly, they would be still worse off where she was going with them all."
declarative,103,"As it was, even in the course of these three days, the youngest was unwell from being given unwholesome soup, and the others had almost gone without their dinner the day before."
declarative,104,"She was conscious that it was impossible to go away; but, cheating herself, she went on all the same sorting out her things and pretending she was going."
declarative,105,"Seeing her husband, she dropped her hands into the drawer of the bureau as though looking for something, and only looked round at him when he had come quite up to her."
declarative,106,"But her face, to which she tried to give a severe and resolute expression, betrayed bewilderment and suffering."
declarative,107,"He bent his head towards his shoulder and tried to look pitiful and humble, but for all that he was radiant with freshness and health."
declarative,108,In a rapid glance she scanned his figure that beamed with health and freshness.
declarative,109,"Her mouth stiffened, the muscles of the cheek contracted on the right side of her pale, nervous face."
declarative,110,"Stepan Arkadyevitch could be calm when he thought of his wife, he could hope that she would come round, as Matvey expressed it, and could quietly go on reading his paper and drinking his coffee; but when he saw her tortured, suffering face, heard the tone of her voice, submissive to fate and full of despair, there was a catch in his breath and a lump in his throat, and his eyes began to shine with tears."
declarative,111,For God’s sake!...
declarative,112,"She shut the bureau with a slam, and glanced at him."
declarative,113,One thing: forgive....
declarative,114,"His face relaxed, his lips swelled, his eyes were swimming with tears."
declarative,115,"I am to blame, and punish me, make me expiate my fault."
declarative,116,"He listened to her hard, heavy breathing, and he was unutterably sorry for her."
declarative,117,"She tried several times to begin to speak, but could not."
declarative,118,He waited.
declarative,119,"He looked at her, and the fury expressed in her face alarmed and amazed him."
declarative,120,He did not understand how his pity for her exasperated her.
declarative,121,"She saw in him sympathy for her, but not love."
declarative,122,At that moment in the next room a child began to cry; probably it had fallen down.
declarative,123,"Darya Alexandrovna listened, and her face suddenly softened."
declarative,124,"She seemed to be pulling herself together for a few seconds, as though she did not know where she was, and what she was doing, and getting up rapidly, she moved towards the door."
declarative,125,"Stepan Arkadyevitch sighed, wiped his face, and with a subdued tread walked out of the room."
declarative,126,I don’t see the least chance of it.
declarative,127,"It was Friday, and in the dining-room the German watchmaker was winding up the clock."
declarative,128,"Darya Alexandrovna meanwhile having pacified the child, and knowing from the sound of the carriage that he had gone off, went back again to her bedroom."
declarative,129,It was her solitary refuge from the household cares which crowded upon her directly she went out from it.
declarative,130,"No, no, reconciliation is impossible."
declarative,131,"my God, how I loved him!..."
declarative,132,"Chapter 5
Stepan Arkadyevitch had learned easily at school, thanks to his excellent abilities, but he had been idle and mischievous, and therefore was one of the lowest in his class."
declarative,133,"But in spite of his habitually dissipated mode of life, his inferior grade in the service, and his comparative youth, he occupied the honorable and lucrative position of president of one of the government boards at Moscow."
declarative,134,"This post he had received through his sister Anna’s husband, Alexey Alexandrovitch Karenin, who held one of the most important positions in the ministry to whose department the Moscow office belonged."
declarative,135,"But if Karenin had not got his brother-in-law this berth, then through a hundred other personages—brothers, sisters, cousins, uncles, and aunts—Stiva Oblonsky would have received this post, or some other similar one, together with the salary of six thousand absolutely needful for him, as his affairs, in spite of his wife’s considerable property, were in an embarrassed condition."
declarative,136,Half Moscow and Petersburg were friends and relations of Stepan Arkadyevitch.
declarative,137,He was born in the midst of those who had been and are the powerful ones of this world.
declarative,138,"One-third of the men in the government, the older men, had been friends of his father’s, and had known him in petticoats; another third were his intimate chums, and the remainder were friendly acquaintances."
declarative,139,"Consequently the distributors of earthly blessings in the shape of places, rents, shares, and such, were all his friends, and could not overlook one of their own set; and Oblonsky had no need to make any special exertion to get a lucrative post."
declarative,140,"He had only not to refuse things, not to show jealousy, not to be quarrelsome or take offense, all of which from his characteristic good nature he never did."
declarative,141,"It would have struck him as absurd if he had been told that he would not get a position with the salary he required, especially as he expected nothing out of the way; he only wanted what the men of his own age and standing did get, and he was no worse qualified for performing duties of the kind than any other man."
declarative,142,"Stepan Arkadyevitch was not merely liked by all who knew him for his good humor, but for his bright disposition, and his unquestionable honesty."
declarative,143,"In him, in his handsome, radiant figure, his sparkling eyes, black hair and eyebrows, and the white and red of his face, there was something which produced a physical effect of kindliness and good humor on the people who met him."
declarative,144,"Even though it happened at times that after a conversation with him it seemed that nothing particularly delightful had happened, the next day, and the next, everyone was just as delighted at meeting him again."
declarative,145,"After filling for three years the post of president of one of the government boards at Moscow, Stepan Arkadyevitch had won the respect, as well as the liking, of his fellow-officials, subordinates, and superiors, and all who had had business with him."
declarative,146,"The principal qualities in Stepan Arkadyevitch which had gained him this universal respect in the service consisted, in the first place, of his extreme indulgence for others, founded on a consciousness of his own shortcomings; secondly, of his perfect liberalism—not the liberalism he read of in the papers, but the liberalism that was in his blood, in virtue of which he treated all men perfectly equally and exactly the same, whatever their fortune or calling might be; and thirdly—the most important point—his complete indifference to the business in which he was engaged, in consequence of which he was never carried away, and never made mistakes."
declarative,147,"On reaching the offices of the board, Stepan Arkadyevitch, escorted by a deferential porter with a portfolio, went into his little private room, put on his uniform, and went into the boardroom."
declarative,148,"The clerks and copyists all rose, greeting him with good-humored deference."
declarative,149,"Stepan Arkadyevitch moved quickly, as ever, to his place, shook hands with his colleagues, and sat down."
declarative,150,"He made a joke or two, and talked just as much as was consistent with due decorum, and began work."
declarative,151,"No one knew better than Stepan Arkadyevitch how to hit on the exact line between freedom, simplicity, and official stiffness necessary for the agreeable conduct of business."
declarative,152,"A secretary, with the good-humored deference common to everyone in Stepan Arkadyevitch’s office, came up with papers, and began to speak in the familiar and easy tone which had been introduced by Stepan Arkadyevitch."
declarative,153,"Till two o’clock the sitting would go on without a break, and at two o’clock there would be an interval and luncheon."
declarative,154,"It was not yet two, when the large glass doors of the boardroom suddenly opened and someone came in."
declarative,155,"All the officials sitting on the further side under the portrait of the Tsar and the eagle, delighted at any distraction, looked round at the door; but the doorkeeper standing at the door at once drove out the intruder, and closed the glass door after him."
declarative,156,"When the case had been read through, Stepan Arkadyevitch got up and stretched, and by way of tribute to the liberalism of the times took out a cigarette in the boardroom and went into his private room."
declarative,157,"Two of the members of the board, the old veteran in the service, Nikitin, and the Kammerjunker Grinevitch, went in with him."
declarative,158,"Stepan Arkadyevitch frowned at Grinevitch’s words, giving him thereby to understand that it was improper to pass judgment prematurely, and made him no reply."
declarative,159,He was asking for you.
declarative,160,"One of the members going down—a lean official with a portfolio—stood out of his way and looked disapprovingly at the legs of the stranger, then glanced inquiringly at Oblonsky."
declarative,161,Stepan Arkadyevitch was standing at the top of the stairs.
declarative,162,His good-naturedly beaming face above the embroidered collar of his uniform beamed more than ever when he recognized the man coming up.
declarative,163,"Stepan Arkadyevitch was on familiar terms with almost all his acquaintances, and called almost all of them by their Christian names: old men of sixty, boys of twenty, actors, ministers, merchants, and adjutant-generals, so that many of his intimate chums were to be found at the extreme ends of the social ladder, and would have been very much surprised to learn that they had, through the medium of Oblonsky, something in common."
declarative,164,"He was the familiar friend of everyone with whom he took a glass of champagne, and he took a glass of champagne with everyone, and when in consequence he met any of his disreputable chums, as he used in joke to call many of his friends, in the presence of his subordinates, he well knew how, with his characteristic tact, to diminish the disagreeable impression made on them."
declarative,165,"Levin was not a disreputable chum, but Oblonsky, with his ready tact, felt that Levin fancied he might not care to show his intimacy with him before his subordinates, and so he made haste to take him off into his room."
declarative,166,Levin was almost of the same age as Oblonsky; their intimacy did not rest merely on champagne.
declarative,167,Levin had been the friend and companion of his early youth.
declarative,168,"They were fond of one another in spite of the difference of their characters and tastes, as friends are fond of one another who have been together in early youth."
declarative,169,"But in spite of this, each of them—as is often the way with men who have selected careers of different kinds—though in discussion he would even justify the other’s career, in his heart despised it."
declarative,170,"It seemed to each of them that the life he led himself was the only real life, and the life led by his friend was a mere phantasm."
declarative,171,Oblonsky could not restrain a slight mocking smile at the sight of Levin.
declarative,172,"How often he had seen him come up to Moscow from the country where he was doing something, but what precisely Stepan Arkadyevitch could never quite make out, and indeed he took no interest in the matter."
declarative,173,"Levin arrived in Moscow always excited and in a hurry, rather ill at ease and irritated by his own want of ease, and for the most part with a perfectly new, unexpected view of things."
declarative,174,"Stepan Arkadyevitch laughed at this, and liked it."
declarative,175,"In the same way Levin in his heart despised the town mode of life of his friend, and his official duties, which he laughed at, and regarded as trifling."
declarative,176,"But the difference was that Oblonsky, as he was doing the same as everyone did, laughed complacently and good-humoredly, while Levin laughed without complacency and sometimes angrily."
declarative,177,"Oblonsky noticed this at once, and smiled."
declarative,178,"Levin frowned, shook hands coldly, and at once turned to Oblonsky."
declarative,179,"Though he had a great respect for his half-brother, an author well known to all Russia, he could not endure it when people treated him not as Konstantin Levin, but as the brother of the celebrated Koznishev."
declarative,180,Stepan Arkadyevitch gave a scarcely perceptible smile.
declarative,181,"And it was so strange to see this sensible, manly face in such a childish plight, that Oblonsky left off looking at him."
declarative,182,Oblonsky seemed to ponder.
declarative,183,"Stepan Arkadyevitch, who had long known that Levin was in love with his sister-in-law, Kitty, gave a hardly perceptible smile, and his eyes sparkled merrily."
declarative,184,"Stepan Arkadyevitch, without hearing him out, laid his hand genially on the secretary’s sleeve."
declarative,185,During the consultation with the secretary Levin had completely recovered from his embarrassment.
declarative,186,"He was standing with his elbows on the back of a chair, and on his face was a look of ironical attention."
declarative,187,He expected some queer outburst from Levin.
declarative,188,"You wait a bit, and you’ll come to this yourself."
declarative,189,"It’s very nice for you to have over six thousand acres in the Karazinsky district, and such muscles, and the freshness of a girl of twelve; still you’ll be one of us one day."
declarative,190,"But I tell you what; if you want to see them, they’re sure now to be at the Zoological Gardens from four to five."
declarative,191,Kitty skates.
declarative,192,"The families of the Levins and the Shtcherbatskys were old, noble Moscow families, and had always been on intimate and friendly terms."
declarative,193,This intimacy had grown still closer during Levin’s student days.
declarative,194,"He had both prepared for the university with the young Prince Shtcherbatsky, the brother of Kitty and Dolly, and had entered at the same time with him."
declarative,195,"In those days Levin used often to be in the Shtcherbatskys’ house, and he was in love with the Shtcherbatsky household."
declarative,196,"Strange as it may appear, it was with the household, the family, that Konstantin Levin was in love, especially with the feminine half of the household."
declarative,197,"Levin did not remember his own mother, and his only sister was older than he was, so that it was in the Shtcherbatskys’ house that he saw for the first time that inner life of an old, noble, cultivated, and honorable family of which he had been deprived by the death of his father and mother."
declarative,198,"All the members of that family, especially the feminine half, were pictured by him, as it were, wrapped about with a mysterious poetical veil, and he not only perceived no defects whatever in them, but under the poetical veil that shrouded them he assumed the existence of the loftiest sentiments and every possible perfection."
declarative,199,"Why it was the three young ladies had one day to speak French, and the next English; why it was that at certain hours they played by turns on the piano, the sounds of which were audible in their brother’s room above, where the students used to work; why they were visited by those professors of French literature, of music, of drawing, of dancing; why at certain hours all the three young ladies, with Mademoiselle Linon, drove in the coach to the Tversky boulevard, dressed in their satin cloaks, Dolly in a long one, Natalia in a half-long one, and Kitty in one so short that her shapely legs in tightly-drawn red stockings were visible to all beholders; why it was they had to walk about the Tversky boulevard escorted by a footman with a gold cockade in his hat—all this and much more that was done in their mysterious world he did not understand, but he was sure that everything that was done there was very good, and he was in love precisely with the mystery of the proceedings."
declarative,200,"In his student days he had all but been in love with the eldest, Dolly, but she was soon married to Oblonsky."
interrogative,1,what have I done?
interrogative,2,"By taking them away from their father, or by leaving them with a vicious father—yes, a vicious father.... Tell me, after what ... has happened, can we live together?"
interrogative,3,Is that possible?
interrogative,4,Should they have any milk?
interrogative,5,And now don’t I love him?
interrogative,6,Don’t I love him more than before?
interrogative,7,Eh?
interrogative,8,The point in discussion was the question then in vogue: Is there a line to be drawn between psychological and physiological phenomena in man?
interrogative,9,"and if so, where?"
interrogative,10,"The professor, in annoyance, and, as it were, mental suffering at the interruption, looked round at the strange inquirer, more like a bargeman than a philosopher, and turned his eyes upon Sergey Ivanovitch, as though to ask: What’s one to say to him?"
interrogative,11,"For some time, is it?"
interrogative,12,Where is he?
interrogative,13,What’s the matter with you?
interrogative,14,What do you want?
interrogative,15,Been here long?
interrogative,16,Speak to her now?
interrogative,17,to start with?
interrogative,18,"Come, isn’t it true that you’re a savage?"
interrogative,19,How do you explain the sudden way in which you vanished from Moscow?
interrogative,20,do you really think it’s possible?
interrogative,21,"Now, when the thing’s done, don’t you see, can one possibly cast her off?"
interrogative,22,"What’s to be done—you tell me that, what’s to be done?"
interrogative,23,What are you to do?
interrogative,24,How are you to act?
interrogative,25,What for?
interrogative,26,What am I to say to him?
interrogative,27,That I love someone else?
interrogative,28,What have I to be afraid of?
interrogative,29,What’s the meaning of that?
interrogative,30,But what sort of a man was he?
interrogative,31,Table-turning?
interrogative,32,Do I try and catch them?
interrogative,33,"a game of bezique, champagne with Ignatov?"
interrogative,34,Quite well?
interrogative,35,Isn’t he a splendid fellow?
interrogative,36,"But how am I to forgive him, how am I to be his wife again after her?"
interrogative,37,can I believe him?
interrogative,38,What have I to strive and toil for?
interrogative,39,Why are the children here?
interrogative,40,Do you hear?
interrogative,41,And that one?
interrogative,42,"What had become of his always self-possessed resolute manner, and the carelessly serene expression of his face?"
interrogative,43,What right had I to imagine she would care to join her life to mine?
interrogative,44,Who am I and what am I?
interrogative,45,And are we fair in our judgment of brother Nikolay?
interrogative,46,Like some supper?
interrogative,47,But what’s the use of talking?
interrogative,48,There’s only one thing.... What did you come to me for?
interrogative,49,What can a man write of justice who knows nothing of it?
interrogative,50,But where’s the supper?
interrogative,51,"Is the house standing still, and the birch trees, and our schoolroom?"
interrogative,52,"And Philip the gardener, is he living?"
interrogative,53,Would you like some champagne?
interrogative,54,Or shall we go somewhere?
interrogative,55,"Well, then what of it?"
interrogative,56,Do you think so?
interrogative,57,"What have I done, and what could I do?"
interrogative,58,Do you know why I’m going today instead of tomorrow?
interrogative,59,"But you’ll make it right, Dolly?"
interrogative,60,But what had he to be ashamed of?
interrogative,61,Am I afraid to look it straight in the face?
interrogative,62,"Why, what is it?"
interrogative,63,And what am I myself?
interrogative,64,"Putting his hand to the peak of his cap, he bowed to her and asked, Was there anything she wanted?"
interrogative,65,Could he be of any service to her?
interrogative,66,What do you advise?
interrogative,67,Have you seen the new helmets?
interrogative,68,What do you think of that?
interrogative,69,Why would they try to cure her with pills and powders?
interrogative,70,At the question: Should they go abroad?
interrogative,71,you’re going?
interrogative,72,Do you suppose I could help knowing?
interrogative,73,"I was busily employed, and doing what, do you suppose?"
interrogative,74,I say it in a whisper ... but doesn’t it really make everything clear?
interrogative,75,But what of that?
interrogative,76,But what’s to be done?
interrogative,77,Can he love?
interrogative,78,What would you have with such a set of peasants?
interrogative,79,What if it’s brother Nikolay?
interrogative,80,What is wrong with her?
interrogative,81,And do you know why?
interrogative,82,Why didn’t you fight it out?
interrogative,83,"But allow me to ask what it consists in, that aristocracy of Vronsky or of anybody else, beside which I can be looked down upon?"
interrogative,84,"And do you know, stand-shooting in the morning is unusually good—why not go?"
interrogative,85,Or was it a dream?
interrogative,86,Why does everybody feel called upon to concern himself about me?
interrogative,87,And why do they worry me so?
interrogative,88,Who is he?
interrogative,89,How ought I to love him?
interrogative,90,"She was thinking, just when he came upon her, of this: why was it, she wondered, that to others, to Betsy (she knew of her secret connection with Tushkevitch) it was all easy, while to her it was such torture?"
interrogative,91,"Do you suppose I can be at peace, knowing you have a trouble I am not sharing?"
interrogative,92,I unhappy?
interrogative,93,"Well, tell me, how have you been?"
interrogative,94,"He knows all about it, he sees it all; what does he care if he can talk so calmly?"
interrogative,95,Is it true?
interrogative,96,Will he come or not?
interrogative,97,"Was it of him they were speaking when they said the rider was unhurt, but the horse had broken its back?"
interrogative,98,What are you?
interrogative,99,Are you really the exquisite creature I imagine you to be?
interrogative,100,What is there in her?
interrogative,101,"What is it gives her the power to look down on everything, to be calm independently of everything?"
interrogative,102,"What exaggeration could there be in the practice of a doctrine wherein one was bidden to turn the other cheek when one was smitten, and give one’s cloak if one’s coat were taken?"
interrogative,103,Could that touching pleasure he showed when she came near be the cause of Anna Pavlovna’s coolness?
interrogative,104,"They’ve conquered everybody, and why am I to be pleased at that?"
interrogative,105,"Isn’t that so, Katinka?"
interrogative,106,What is it?
interrogative,107,why not?
interrogative,108,What business had I to interfere with outsiders?
interrogative,109,"Yes, yes, I know you’re all perfection; but what am I to do if I’m bad?"
interrogative,110,What have I to do with Anna Pavlovna?
interrogative,111,"what have I done, what have I said?"
interrogative,112,Why was I rude to her?
interrogative,113,What am I to do?
interrogative,114,Can there be two opinions of the advantage of education?
interrogative,115,"But tell me, how do the peasants look at it?"
interrogative,116,But have you really been mowing the whole day?
interrogative,117,So you had a nice day too?
interrogative,118,"But, do you know?"
interrogative,119,What sort of time did she have?
